For Nik, he only wants to silence the cacophony of sounds and colors he sees and for Fiona, it is the hope of a new life in Costa Rica	0
"I can play this two ways	0
Mild, because it isn't conclusive, and doesn't give us the information we need to fully appreciate the story that Lloyd is telling	-1
You can also get some more information about the books and writing in my exclusive interview with author Belinda Crawford at: https://goo	0
Soon, Hero, who has never had friends, is thrust in a school where she quickly has to decide who are her friends and who aren't	0
I did like Steven (or Stephen? I listened to the book	1
The plot is quick moving and the action is violent	1
Loved everything about this book	1
What happened to the sorceress to make her hate people so? What is her purpose in locking up the girl? Does that somehow ensure her possession, or the girl's purity? If so, why is purity important to her?	0
Great, quick read	1
Although there isn't character development, as is the case with most mystery novels, yet the reader comes out enlightened about several notions and ideas in life	1
I liked the ending.	1
Going in I really liked it but unfortunately left me bored and infuriated at the end, (which I think is really hard to do) This is the first book I finished only because I wanted it over with	-1
The wolf loved chasing the sheep around and around	0
I'm not giving this 5 stars because the big reveal kind of disappointed me in that it's a classic case of possible, but not really probable	-1
Collected in this volume are three short stories set in the same world as his first novel, The Crescent Throne, as well as a western, sci-fi, bunnies with swords, and an urban fantasy	0
I believe Barnes delivers on that promise in this book - the Garden of Stones was well worth the read	1
eh I hate how the author made Duke from a nice guy to a complete dick wad and Trevor into mr	-1
And if you finish Pig Island and really like the ending, read Hanging Hill	1
Cait and Bud travel to Amsterdam to fulfil Jonas' will and uncover a mystery if there is one	0
The narrator is good and the audiobook is only about seven hours	1
I guess I didn't track this on goodreads when I first read this so I'll just rate it 3 stars, but I have to reread it.	-1
But it would have been so much more interesting if Hill had gone with the more simple, logical, and real explanation: Lee doesn't react to the horns because Lee has no guilt	-1
Great story of a girl's friendship with her dog.	1
I have an empty house that reeks of death	0
I have read all her books and I admire her	1
I love anything that incorporates Shakespeare and that was clever, but the main issue that turned me off is the 12 Step focus	-1
It did have an interview with Green after the book, which some readers might find interesting.	0
There were a lot of things in this book that I didn't expect	0
Can I just say	0
My 8 year old loved it	1
I very much liked the main characters and never questioned how they acted and reacted in such a bizarre situation, which is impressive	1
I don't know, this atmosphere of things not being what they appear to be	0
I spent the first half of this book getting to know a dozen likable, eclectic characters and the second half yelling at the car radio and gripping the steering wheel like it was a cut glass doorknob and I was swinging into space	0
I think that another reason I enjoyed it so much was that it reminded me a bit of P	1
If you read Hayder's Hanging Hill and enjoyed the ending (and maybe yelled at the book at little bit), then read Pig Island	1
But I would not be honest if I said I enjoyed this read	-1
Cathy Ace expertly weaves in comic relief also from the first few pages to relieve the tension she built on the first page of the novel	1
) I wonder if someone's watching through one of the pictures on the wall.	0
I found it very difficult to buy into the world the author was creating when I first started reading this book	-1
It doesn't last forever	0
Maybe you know what I mean	0
All in all a good first novel and I am planning on reading the follow up as the story is pretty solid and the author kept it intriguing enough in general to enjoy the adventure.	1
The Corpse with the Garnet Face tackles art, lots of it, since Jonas and his friends were artists and painters	0
This is the first book I completed for my Goodreads 2013 reading challenge, and I can say that the bar has been set so low that it can only get higher	-1
I love you so much.	1
The characters aren't really heroes or heroic, and yet by the end you understand what makes them tick (mostly), and why they are the crappy examples of morality that they are	0
I've liked several of his other novels better.	-1
Cal is part monster, part human and all sarcasm	0
This book went from light-hearted to heavy/actionactionactionaction and the main character's life went from pretty awesome to complete SHIT in like 2 short chapters	0
It's also the first novel I have read fully on my iPad which is saying something as I much prefer the feel of a book in my hand and all other novels on my iPad have remained unread	1
Barnes presents in The Garden of Stones a well developed, fully laid out world	1
Readers of the paper edition might have seen it, by accident, when going to set the book down	0
Just the journey took up most of the book and the final confrontation was kind of short	-1
Spell binding pageturner.	1
Clever story, witty and with a likeable main character	1
Through a series of twists and turns, August creates a situation where Nicole will become his blood mate, but she doesn't give in so easily, and is a very strong and feisty heroine	1
It fits her, pretty and carefree as she is	1
You have to climb the stairs (lol) and make the first move	0
Readers of the electronic edition, though, would suffer the entire length of the book before discovering that hidden away at the back there is a mild attempt at explaining who's who	-1
Of course, I thought maybe it was Marston because he was the first to go, but alas I was wrong	0
I've read wayyy too many books where the author turns one of the guys into a dick head so it gives the main character an excuse to fall in love with the "right guy"	-1
Also, the audiobook has a really nice afterword by Hill himself, where he talks about the writing of this book and about audiobooks, and he gives some audio recommendations.	1
The wolf didn't know how to read	0
As with any trilogy, this book was more about the getting from point A (book 1) to point B (book 3, presumably, where there is resolution), full of nice bits of action and the building up of tension for the third book.	1
Like many good fantasies, Abercrombie doesn't try and hide the grit behind feats of magic and enchanted swords	1
Part leopard, part rat, Fink, a rucpard, speaks in third person and is absolutely adorable despite being 600 kilos in weight and very defensive of his charge, Hero	1
The wolf tells the frog all the things he eats--cute, fluffy animals	0
Just because you're a monster doesn't mean you can't do some good.	-1
This is a solid police procedural and a good start to a series	1
